,Name,c,y,Year,Measure,Approach,Region,Total Inequality,IOp Ex-Ante Tree,IOp Ex-Ante RF,IOp Ex-Post,Latest
199,Finland,FI,2019,2019 (Income),MLD,Absolute,Europe,0.143,0.0142,0.0191,0.0139,1
200,Finland,FI,2019,2019 (Income),MLD,Relative,Europe,0.143,9.93006993006993,13.3566433566434,9.72027972027972,1
201,France,FR,2005,2005 (Income),Gini,Absolute,Europe,0.2699,0.0939,0.1076,0.1038,0
202,France,FR,2005,2005 (Income),Gini,Relative,Europe,0.2699,34.7906632085958,39.866617265654,38.4586884031123,0
203,France,FR,2005,2005 (Income),MLD,Absolute,Europe,0.1235,0.0164,0.02,0.0188,0
204,France,FR,2005,2005 (Income),MLD,Relative,Europe,0.1235,13.2793522267207,16.1943319838057,15.2226720647773,0
205,France,FR,2011,2011 (Income),Gini,Absolute,Europe,0.2951,0.0934,0.1064,0.0991,0
206,France,FR,2011,2011 (Income),Gini,Relative,Europe,0.2951,31.6502880379532,36.0555743815656,33.5818366655371,0
207,France,FR,2011,2011 (Income),MLD,Absolute,Europe,0.1546,0.0149,0.0188,0.0245,0
208,France,FR,2011,2011 (Income),MLD,Relative,Europe,0.1546,9.63777490297542,12.1604139715395,15.8473479948254,0
209,France,FR,2019,2019 (Income),Gini,Absolute,Europe,0.2865,0.1114,0.1229,0.1185,1
210,France,FR,2019,2019 (Income),Gini,Relative,Europe,0.2865,38.8830715532286,42.8970331588133,41.3612565445026,1
211,France,FR,2019,2019 (Income),MLD,Absolute,Europe,0.1449,0.0202,0.0279,0.0247,1
212,France,FR,2019,2019 (Income),MLD,Relative,Europe,0.1449,13.9406487232574,19.2546583850932,17.0462387853692,1
213,Gambia,GAM,2015,2015 (Income),Gini,Absolute,Africa,0.5755,0.1988,0.1945,0.2335,1
214,Gambia,GAM,2015,2015 (Income),Gini,Relative,Africa,0.5755,34.5438748913988,33.7966985230235,40.5734144222415,1
215,Gambia,GAM,2015,2015 (Income),MLD,Absolute,Africa,0.6697,0.0662,0.0583,0.1118,1
216,Gambia,GAM,2015,2015 (Income),MLD,Relative,Africa,0.6697,9.88502314469165,8.70539047334628,16.6940421084068,1
217,Georgia,GEO,2016,2016 (Income),Gini,Absolute,Asia + Oceania,0.4685,0.1221,0.2109,0.1778,1
218,Georgia,GEO,2016,2016 (Income),Gini,Relative,Asia + Oceania,0.4685,26.0618996798292,45.0160085378869,37.9509071504803,1
219,Georgia,GEO,2016,2016 (Income),MLD,Absolute,Asia + Oceania,0.3809,0.0409,0.0689,0.0531,1
220,Georgia,GEO,2016,2016 (Income),MLD,Relative,Asia + Oceania,0.3809,10.7377264373851,18.0887372013652,13.9406668416907,1
221,Germany,DE,2005,2005 (Income),Gini,Absolute,Europe,0.3041,0.1314,0.1392,0.1509,0
222,Germany,DE,2005,2005 (Income),Gini,Relative,Europe,0.3041,43.2094705688918,45.7744163104242,49.6218349227228,0
223,Germany,DE,2005,2005 (Income),MLD,Absolute,Europe,0.1623,0.0302,0.032,0.0402,0
224,Germany,DE,2005,2005 (Income),MLD,Relative,Europe,0.1623,18.607516943931,19.7165742452249,24.7689463955638,0
225,Germany,DE,2011,2011 (Income),Gini,Absolute,Europe,0.275,0.082,0.0931,0.0913,0
