,name,iso,y,c,Circumstances,latest,var,Region,Approach1,Value,Measure,Approach,Perspective
109,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante,0.0117,MLD,Absolute,Ex-Ante Tree
110,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante_rel,6.21679064824655,MLD,Relative,Ex-Ante Tree
111,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost,0.0224,MLD,Absolute,Ex-Post Tree
112,Australia,AUS,2015,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost_rel,11.9022316684378,MLD,Relative,Ex-Post Tree
113,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini,0.3446,Gini,Absolute,NA
114,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante,0.0988,Gini,Absolute,Ex-Ante Random Forest
115,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini_rforest_exante_rel,28.670922809054,Gini,Relative,Ex-Ante Random Forest
116,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante,0.0891,Gini,Absolute,Ex-Ante Tree
117,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini_trees_exante_rel,25.8560650029019,Gini,Relative,Ex-Ante Tree
118,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost,0.084,Gini,Absolute,Ex-Post Tree
119,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,Gini_trees_expost_rel,24.376088218224,Gini,Relative,Ex-Post Tree
120,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD,0.2095,MLD,Absolute,NA
121,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante,0.0151,MLD,Absolute,Ex-Ante Random Forest
122,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD_rforest_exante_rel,7.20763723150358,MLD,Relative,Ex-Ante Random Forest
123,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante,0.0135,MLD,Absolute,Ex-Ante Tree
124,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD_trees_exante_rel,6.44391408114559,MLD,Relative,Ex-Ante Tree
125,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost,0.0204,MLD,Absolute,Ex-Post Tree
126,Australia,AUS,2017,AUS,all,0,Income,Asia + Oceania,MLD_trees_expost_rel,9.73747016706444,MLD,Relative,Ex-Post Tree
127,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini,0.3551,Gini,Absolute,NA
128,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini_rforest_exante,0.1007,Gini,Absolute,Ex-Ante Random Forest
129,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini_rforest_exante_rel,28.3582089552239,Gini,Relative,Ex-Ante Random Forest
130,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini_trees_exante,0.0944,Gini,Absolute,Ex-Ante Tree
131,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini_trees_exante_rel,26.5840608279358,Gini,Relative,Ex-Ante Tree
132,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini_trees_expost,0.0809,Gini,Absolute,Ex-Post Tree
133,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,Gini_trees_expost_rel,22.7823148408899,Gini,Relative,Ex-Post Tree
134,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD,0.2224,MLD,Absolute,NA
135,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD_rforest_exante,0.0155,MLD,Absolute,Ex-Ante Random Forest
136,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD_rforest_exante_rel,6.96942446043166,MLD,Relative,Ex-Ante Random Forest
137,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD_trees_exante,0.0142,MLD,Absolute,Ex-Ante Tree
138,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD_trees_exante_rel,6.38489208633094,MLD,Relative,Ex-Ante Tree
139,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD_trees_expost,0.0108,MLD,Absolute,Ex-Post Tree
140,Australia,AUS,2019,AUS,all,1,Income,Asia + Oceania,MLD_trees_expost_rel,4.85611510791367,MLD,Relative,Ex-Post Tree
